*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ornamentv3_2e_encoders
*Date=08:58:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;56.8198;-35.23;0;Bottom;Copper Fill284
2;;;41.5283;-13.4027;0;Bottom;Hole1
3;;;39.0483;-77.1826;0;Bottom;Via6
4;;;4.24829;-31.4826;0;Bottom;Via66
5;220;0805 [SMD];39.948;-28.6575;-90;Bottom;18p
6;;;56.2102;-60.1728;0;Bottom;Copper Fill274
7;;;58.8645;-90.4496;0;Bottom;Copper Fill107
8;;;16.9483;-71.0826;0;Bottom;Via109
9;;;48.1076;-18.593;0;Bottom;Copper Fill290
10;;;19.7866;-98.0442;0;Bottom;Copper Fill200
11;;;42.1482;-55.0825;0;Bottom;Via178
12;;;33.7185;-9.3474;0;Bottom;Copper Fill42
13;;;42.0483;-78.0826;0;Bottom;Via173
14;;;53.6829;-43.6882;0;Bottom;Copper Fill172
15;220;0805 [SMD];30.2883;-63.4775;90;Top;100R
16;;;2.57838;-71.5226;0;Bottom;Via67
17;;;22.5552;-60.8459;0;Bottom;Copper Fill93
18;;;5.2578;-38.7479;0;Bottom;Copper Fill70
19;220;0805 [SMD];30.3281;-64.1977;-90;Bottom;33k
20;;;24.1483;-53.9827;0;Bottom;Via160
21;;;38.2524;-44.4502;0;Bottom;Copper Fill266
22;;;35.3483;-78.1826;0;Bottom;Via172
23;;;24.8666;-98.0442;0;Bottom;Copper Fill202
24;220;0805 [SMD];20.8483;-16.6077;90;Bottom;33k
25;;;6.5483;-64.5825;0;Bottom;Via136
26;;;53.7165;-25.6344;2.18663e-15;Bottom;TXT10
27;;;9.7917;-41.961;0;Bottom;Copper Fill168
28;;;20.0152;-80.4166;0;Bottom;Copper Fill221
29;;PG203J [THT];24.4507;-7.61498;180;Bottom;CV3
30;;;46.4481;-36.5826;0;Bottom;Via155
31;;;25.9484;-36.4827;0;Bottom;Via144
32;;sot23-5;44.5982;-70.9827;180;Top;ADP150
33;;;49.9872;-84.0234;0;Bottom;Copper Fill214
34;;;41.7576;-55.1563;0;Bottom;Copper Fill165
35;;;14.8209;-9.3474;0;Bottom;Copper Fill36
36;;;42.7482;-77.1826;0;Bottom;Via5
37;;;36.7831;-86.3122;0;Bottom;Via54
38;;SOT-23 [SMD];3.09822;-29.4427;0;Bottom;Q
39;;SO 08 [SMD];22.86;-36.1093;180;Bottom;opa
40;;;2.6416;-36.0555;0;Bottom;Copper Fill74
41;;;59.1693;-40.056;0;Bottom;Copper Fill64
42;;;32.1945;-44.6534;0;Bottom;Copper Fill146
43;;;40.0812;-71.4504;0;Bottom;Copper Fill235
44;220;0805 [SMD];20.248;-28.6575;-90;Bottom;18p
45;220;0805 [SMD];20.7882;-63.4775;90;Top;100R
46;;;49.5046;-70.8027;0;Bottom;Copper Fill182
47;;;34.5482;-52.0825;0;Bottom;Via47
48;;;41.7576;-64.4527;0;Bottom;Copper Fill102
49;220;0805 [SMD];37.748;-28.6575;-90;Bottom;220R
50;;SOT-23 [SMD];3.99823;-37.7525;0;Bottom;Q3
51;;THT;22.3382;-96.8626;-90;Bottom;< MISO (12)
52;;;29.0483;-39.0825;0;Bottom;Via157
53;;;58.0136;-89.5987;0;Bottom;Copper Fill108
54;;;22.8981;-60.503;0;Bottom;Copper Fill92
55;220;0805 [SMD];30.5627;-16.6077;90;Bottom;33k
56;;;28.3718;-76.4415;0;Bottom;Copper Fill162
57;;;32.5882;-76.8526;0;Bottom;Via8
58;;;24.1173;-53.6958;0;Bottom;Copper Fill184
59;;;10.2071;-24.8817;0;Bottom;TXT10
60;;;3.1242;-88.4303;0;Bottom;Copper Fill63
61;;;42.2484;-31.8825;0;Bottom;Via150
62;;;47.0154;-76.2891;0;Bottom;Copper Fill90
63;220;0805 [SMD];24.1483;-43.1575;-90;Bottom;100k
64;220;0805 [SMD];55.5232;-39.7827;0;Bottom;1uF
65;;;35.4838;-61.2142;0;Bottom;Copper Fill249
66;;;30.9626;-45.1868;0;Bottom;Copper Fill262
67;100nF;0805 [SMD, multilayer];29.8232;-81.5826;0;Bottom;10uF
68;;;47.7901;-62.2048;0;Bottom;Copper Fill53
69;;;42.1482;-74.1826;0;Bottom;Via7
70;;;57.7342;-39.7131;0;Bottom;Copper Fill132
71;;;59.1693;-30.4802;0;Bottom;Copper Fill125
72;;;41.4484;-71.3826;0;Bottom;Via28
73;;;32.6644;-10.4015;0;Bottom;Copper Fill43
74;;;27.9484;-76.3826;0;Bottom;Via177
75;;;46.9392;-63.0303;0;Bottom;Copper Fill54
76;;;20.9482;-94.6826;0;Bottom;Via159
77;;;28.0484;-65.9825;0;Bottom;Via101
78;;PG203J [THT];49.0108;-7.61498;180;Bottom;DAC_C
79;;;28.9306;-54.6102;0;Bottom;Copper Fill256
80;;;34.417;-56.947;0;Bottom;Copper Fill254
81;220;0805 [SMD];44.2482;-36.6077;90;Bottom;100n
82;;;42.1005;-55.4992;0;Bottom;Copper Fill163
83;;;38.5826;-41.5546;0;Bottom;Copper Fill273
84;;;12.7482;-94.0826;0;Bottom;Via170
85;;;42.1005;-54.8134;0;Bottom;Copper Fill164
86;1µF;100 mil [THT, electrolytic];49.1182;-62.9825;180;Bottom;C2
87;;THT;20.4383;-80.7926;-90;Bottom;U3
88;;;36.4744;-34.5188;0;Bottom;Copper Fill287
89;;;28.8544;-66.2434;0;Bottom;Copper Fill241
90;;;15.8496;-10.4015;0;Bottom;Copper Fill38
91;;;24.3205;-16.7388;0;Bottom;Copper Fill24
92;;;23.2664;-34.6204;0;Bottom;Copper Fill286
93;;;45.1612;-45.8472;0;Bottom;Copper Fill263
94;;;6.5278;-15.6847;0;Bottom;Copper Fill18
95;;;19.1008;-45.6948;0;Bottom;Copper Fill265
96;;;33.655;-14.9608;0;Bottom;Copper Fill299
97;;;52.578;-2.6418;0;Bottom;Copper Fill303
98;;;3.3274;-36.0555;0;Bottom;Copper Fill75
99;;300 mil [THT];52.2328;-67.4825;180;Bottom;D1
100;;;5.64811;-38.6826;0;Bottom;Via73
101;;;53.7483;-50.027;0;Bottom;SW3
102;220;0805 [SMD];21.4731;-49.5826;0;Bottom;100k
103;;;25.4483;-53.9827;0;Bottom;Via35
104;;;44.0944;-77.4448;0;Bottom;Copper Fill225
105;220;0805 [SMD];35.1482;-54.7176;-90;Bottom;100k
106;;;10.9982;-88.2144;0;Bottom;Copper Fill204
107;;;44.5389;-72.7966;0;Bottom;Copper Fill133
108;;;10.5576;-92.5067;0;Bottom;IMG1
109;;;14.8717;-16.7388;0;Bottom;Copper Fill20
110;;;32.6898;-45.1487;0;Bottom;Copper Fill148
111;;;19.1482;-32.3826;0;Bottom;Via14
112;;;51.2826;-54.5467;0;Bottom;Copper Fill85
113;;;7.57315;-85.2774;0;Bottom;TXT12
114;;;43.6753;-74.5746;0;Bottom;Copper Fill55
115;220;0805 [SMD];18.2482;-16.6077;90;Bottom;33k
116;;;25.1714;-12.9923;0;Bottom;Copper Fill187
117;;;22.479;-54.0387;0;Bottom;Copper Fill99
118;;;37.2872;-60.7824;0;Bottom;Copper Fill248
119;;;12.6873;-93.65;0;Bottom;Copper Fill152
120;;;43.1673;-35.3062;0;Bottom;Copper Fill138
121;;PG203J [THT];33.8608;-7.61498;180;Bottom;CV4
122;;;25.3492;-10.4015;0;Bottom;Copper Fill41
123;;;52.2478;-54.5467;0;Bottom;Copper Fill86
124;;;46.4693;-76.8098;0;Bottom;Copper Fill89
125;;;45.8481;-59.1827;0;Bottom;Via52
126;;;21.1582;-65.7608;0;Bottom;Copper Fill238
127;220;0805 [SMD];44.5482;-28.6575;-90;Bottom;24k9
128;;;59.2483;-39.6825;0;Bottom;Via15
129;;;15.3924;-52.3242;0;Bottom;Copper Fill250
130;220;0805 [SMD];37.6481;-54.7176;-90;Bottom;75k
131;;;27.8765;-76.9368;0;Bottom;Copper Fill159
